105
3;1;1
5;1;3
6;1;3
9;1;3
10;1;1
13;1;3
14;1;3
15;1;0
10;2;3
12;2;3
15;2;0
4;3;3
5;3;3
7;3;1
8;3;1
9;3;0
12;3;2
14;3;3
4;4;1
8;4;1
9;4;1
10;4;2
11;4;2
12;4;0
13;4;3
14;4;1
15;4;0
1;5;2
2;5;3
3;5;0
7;5;0
9;5;3
13;5;1
15;5;2
16;5;3
1;6;0
3;6;2
5;6;0
10;6;0
11;6;1
12;6;1
0;7;2
2;7;2
3;7;0
7;7;1
9;7;2
13;7;2
1;8;3
5;8;2
6;8;3
8;8;0
10;8;0
11;8;0
12;8;3
13;8;1
15;8;2
16;8;3
0;9;0
1;9;0
4;9;1
5;9;3
7;9;0
8;9;0
9;9;0
11;9;0
12;9;1
13;9;0
0;11;2
2;11;1
3;11;2
5;11;1
6;11;3
10;11;1
11;11;1
12;11;1
15;11;0
2;12;1
6;12;2
11;12;1
13;12;3
14;12;3
16;12;2
2;13;0
3;13;3
5;13;1
6;13;0
9;13;2
12;13;2
13;13;0
14;13;2
3;15;1
5;15;1
9;15;1
12;15;3
0;16;3
2;16;2
12;16;1
14;16;2
2;17;3
3;17;0
7;17;2
10;17;3
11;17;0
12;17;1
14;17;2
