105
3;1;1
5;1;1
6;1;0
9;1;0
10;1;1
13;1;0
14;1;1
15;1;0
10;2;0
12;2;1
15;2;1
4;3;0
5;3;1
7;3;1
8;3;1
9;3;1
12;3;1
14;3;0
4;4;1
8;4;0
9;4;1
10;4;0
11;4;0
12;4;1
13;4;1
14;4;1
15;4;1
1;5;0
2;5;0
3;5;1
7;5;0
9;5;0
13;5;1
15;5;1
16;5;1
1;6;0
3;6;1
5;6;1
10;6;1
11;6;0
12;6;0
0;7;0
2;7;0
3;7;1
7;7;1
9;7;0
13;7;1
1;8;1
5;8;1
6;8;1
8;8;1
10;8;1
11;8;1
12;8;1
13;8;1
15;8;1
16;8;1
0;9;1
1;9;1
4;9;0
5;9;0
7;9;1
8;9;1
9;9;1
11;9;0
12;9;1
13;9;0
0;11;0
2;11;0
3;11;0
5;11;0
6;11;1
10;11;0
11;11;1
12;11;0
15;11;0
2;12;0
6;12;1
11;12;1
13;12;0
14;12;1
16;12;1
2;13;0
3;13;0
5;13;0
6;13;0
9;13;0
12;13;0
13;13;1
14;13;0
3;15;0
5;15;1
9;15;0
12;15;1
0;16;1
2;16;0
12;16;0
14;16;0
2;17;1
3;17;1
7;17;1
10;17;1
11;17;1
12;17;0
14;17;0
